	Frequency [Hz]	Amplitude [m/s]	Phase Angle [deg]
50.0	0.000523731672061	52.3288673357
51.0	0.00058994579534	51.1838928614
52.0	0.000665263115389	49.8364196654
53.0	0.000751183731988	48.2567772640
54.0	0.000849464326909	46.4079968122
55.0	0.000962130321909	44.2442798930
56.0	0.00109145119229	41.7093216825
57.0	0.0012398384054	38.7347572751
58.0	0.00140959502495	35.2393572964
59.0	0.00160240398279	31.1302534380
60.0	0.00181840381703	26.3085174473
61.0	0.00205472588917	20.6826852697
62.0	0.0023035961932	14.1942838128
63.0	0.00255072490405	6.85638061904
64.0	0.00277562356496	-1.20399495018
65.0	0.00295567884632	-9.72446647216
66.0	0.00307361613478	-18.3369932885
67.0	0.00312413503343	-26.6518853936
68.0	0.00311481978939	-34.3542925418
69.0	0.00306116498496	-41.2595081443
70.0	0.00298007128985	-47.3105126883
71.0	0.00288559122145	-52.5406956928
72.0	0.00278758491989	-57.0316433222
73.0	0.00269214405721	-60.8817614004
74.0	0.00260260065178	-64.1880551064
75.0	0.00252049007449	-67.0376587247
76.0	0.00244626969396	-69.5051129890
77.0	0.00237979506386	-71.6525211575
78.0	0.00232061411898	-73.5309043683
79.0	0.00226814017826	-75.1818942392
80.0	0.00222174935295	-76.6393697796
81.0	0.00218083259752	-77.9308880299
82.0	0.00214482136544	-79.0788730459
83.0	0.00211319830372	-80.1015779170
84.0	0.00208549981743	-81.0138507475
85.0	0.00206131434488	-81.8277385901
86.0	0.00204027875473	-82.5529607922
87.0	0.00202207400804	-83.1972774126
88.0	0.00200642090631	-83.7667738976
89.0	0.00199307627709	-84.2660787132
90.0	0.00198182980086	-84.6985267178
91.0	0.00197250167268	-85.0662786805
92.0	0.00196494112469	-85.3704050434
93.0	0.00195902598918	-85.6109403271
94.0	0.00195466336282	-85.7869145913
95.0	0.00195179160639	-85.8963674521
96.0	0.00195038386499	-85.9363515391
97.0	0.00195045344459	-85.9029338821
98.0	0.00195206143596	-85.7912065730
99.0	0.00195532706961	-85.5953231743
100.0	0.00196044138572	-85.3085120283
