	Frequency [Hz]	Amplitude [m/s]	Phase Angle [deg]
50.0	0.0186611879534	-111.267609024
51.0	0.0200458706941	-112.784317381
52.0	0.0215856663394	-114.480017316
53.0	0.023303624785	-116.386680207
54.0	0.0252258447591	-118.543316387
55.0	0.0273810420737	-120.997544866
56.0	0.0297991925891	-123.807303153
57.0	0.0325084512338	-127.042428056
58.0	0.0355290443205	-130.785483532
59.0	0.038862231719	-135.130554861
60.0	0.0424721512405	-140.177687041
61.0	0.0462596194751	-146.019374934
62.0	0.0500322903094	-152.715050132
63.0	0.0534874458642	-160.252542145
64.0	0.0562378982537	-168.505667939
65.0	0.0579069637713	-177.212855600
66.0	0.0582696675117	173.993468310
67.0	0.0573517656998	165.501639687
68.0	0.0554076703742	157.626084706
69.0	0.0527996991538	150.550792641
70.0	0.0498723072331	144.332069329
71.0	0.0468844991586	138.935808449
72.0	0.0439998956117	134.279696875
73.0	0.041305959702	130.264584046
74.0	0.0388391415749	126.792694997
75.0	0.0366055577992	123.776092507
76.0	0.0345951014791	121.139390704
77.0	0.0327901077265	118.819589945
78.0	0.0311702972259	116.764710659
79.0	0.0297154104585	114.932089196
80.0	0.0284064927893	113.286727966
81.0	0.0272264264143	111.799850253
82.0	0.0261600602198	110.447694373
83.0	0.0251941376677	109.210533246
84.0	0.0243171338576	108.071886845
85.0	0.0235190606965	107.017893934
86.0	0.0227912711539	106.036810912
87.0	0.0221262767876	105.118611685
88.0	0.0215175846116	104.254666705
89.0	0.0209595542998	103.437484305
90.0	0.0204472752845	102.660500737
91.0	0.0199764614316	101.917908206
92.0	0.0195433612306	101.204512868
93.0	0.0191446811528	100.515616261
94.0	0.0187775201976	99.8469150077
95.0	0.0184393136709	99.1944147525
96.0	0.0181277844235	98.5543554382
97.0	0.0178409001302	97.9231451811
98.0	0.0175768353341	97.2973009814
99.0	0.0173339369509	96.6733948800
100.0	0.0171106919076	96.0479237080
