Frequency	Amplitude	Phase Angle
50.0	5.79194090303	-16.9440291134
51.0	6.39016956725	-18.2108190123
52.0	7.07144008799	-19.6427873971
53.0	7.85184764403	-21.2741782875
54.0	8.75131468475	-23.1486926984
55.0	9.79446675293	-25.3226262845
56.0	11.0114928615	-27.8690888371
57.0	12.4386288097	-30.8835334955
58.0	14.1173644721	-34.4905617785
59.0	16.0903336940	-38.8510746766
60.0	18.3896763456	-44.1663871955
61.0	21.0105115955	-50.6702585292
62.0	23.8611759763	-58.5895959272
63.0	26.6956284100	-68.0456807516
64.0	29.0828618023	-78.8895613060
65.0	30.5253880957	-90.5629654921
66.0	30.7427633013	-102.180803612
67.0	29.8621259207	-112.882569449
68.0	28.2884033047	-122.161307972
69.0	26.4350748529	-129.910324129
70.0	24.5795085842	-136.271446877
71.0	22.8614827011	-141.476262936
72.0	21.3317554914	-145.755874250
73.0	19.9951356404	-149.306816543
74.0	18.8366115244	-152.285333673
75.0	17.8346963234	-154.812187868
76.0	16.9674946126	-156.979878793
77.0	16.2151138344	-158.859317268
78.0	15.5603791170	-160.505189818
79.0	14.9888197337	-161.960034867
80.0	14.4883812908	-163.257268651
81.0	14.0490662074	-164.423414224
82.0	13.6625866195	-165.479743888
83.0	13.3220601604	-166.443495890
84.0	13.0217547416	-167.328782081
85.0	12.7568794602	-168.147271153
86.0	12.5234150698	-168.908707872
87.0	12.3179773337	-169.621311678
88.0	12.1377070209	-170.292086047
89.0	11.9801812153	-170.927061063
90.0	11.8433416423	-171.531486089
91.0	11.7254366994	-172.109984783
92.0	11.6249741371	-172.666681442
93.0	11.5406824926	-173.205306053
94.0	11.4714793702	-173.729283114
95.0	11.4164451465	-174.241808587
96.0	11.3748011342	-174.745918463
97.0	11.3458910209	-175.244551557
98.0	11.3291648369	-175.740609138
99.0	11.3241648764	-176.237013417
100.0	11.3305124880	-176.736617489
