Frequency	Amplitude	Phase Angle
50.0	88.1668840717	172.586316391
51.0	92.1441735290	171.621655410
52.0	96.6190227012	170.501787344
53.0	101.678995996	169.193144269
54.0	107.429388306	167.652759397
55.0	113.995445905	165.825135869
56.0	121.522615193	163.638034175
57.0	130.171458522	160.996951253
58.0	140.100036096	157.778324840
59.0	151.419138149	153.822392573
60.0	164.093439701	148.929089817
61.0	177.748448519	142.866032927
62.0	191.356734261	135.407831272
63.0	202.901405093	126.434879252
64.0	209.442345330	116.097984448
65.0	208.227977087	104.957478697
66.0	198.571742511	93.9007435962
67.0	182.564123323	83.7908414949
68.0	163.615141415	75.1375857052
69.0	144.574608629	68.0508752742
70.0	127.037603860	62.3924828806
71.0	111.592911873	57.9348807219
72.0	98.2722637600	54.4515538350
73.0	86.8705758092	51.7511646863
74.0	77.1150527460	49.6833758864
75.0	68.7394439960	48.1341552814
76.0	61.5105486598	47.0186911774
77.0	55.2336015766	46.2748768561
78.0	49.7494528451	45.8581304762
79.0	44.9292579857	45.7375325912
80.0	40.6690044197	45.8930451317
81.0	36.8846964523	46.3135584866
82.0	33.5083934481	46.9955504309
83.0	30.4850554499	47.9421849899
84.0	27.7700759701	49.1627069151
85.0	25.3273710260	50.6719997946
86.0	23.1279085854	52.4901637495
87.0	21.1485789745	54.6419337248
88.0	19.3713226913	57.1557008944
89.0	17.7824401866	60.0618177265
90.0	16.3720102009	63.3897926414
91.0	15.1333375097	67.1639607644
92.0	14.0623444231	71.3973725681
93.0	13.1568205076	76.0841083335
94.0	12.4154701881	81.1911433724
95.0	11.8367665393	86.6520833891
96.0	11.4177331631	92.3659638370
97.0	11.1528988631	98.2037771778
98.0	11.0337177998	104.022855489
99.0	11.0486524843	109.685595224
100.0	11.1838952905	115.076599677
