Frequency	Amplitude	Phase Angle
50.0	110.551597464	170.778431087
51.0	116.762010116	169.679286018
52.0	123.771901945	168.416332163
53.0	131.726586465	166.955424689
54.0	140.802661761	165.252968681
55.0	151.213236054	163.252782245
56.0	163.211023280	160.881877292
57.0	177.084581628	158.044931272
58.0	193.137140833	154.617482932
59.0	211.625895996	150.438781810
60.0	232.619508987	145.307674790
61.0	255.707242944	138.990577065
62.0	279.504180537	131.260768994
63.0	301.073325941	121.997171909
64.0	315.893475828	111.348956281
65.0	319.420008633	99.8746307282
66.0	309.997155340	88.4595412519
67.0	290.239475121	77.9644718551
68.0	265.071414530	68.8966793856
69.0	238.859334416	61.3631869983
70.0	214.200949771	55.2225234309
71.0	192.180464689	50.2434922151
72.0	173.001161618	46.1954179772
73.0	156.464580842	42.8822322875
74.0	142.234879218	40.1482041056
75.0	129.961181500	37.8731350123
76.0	119.325614461	35.9651465653
77.0	110.057009549	34.3540138803
78.0	101.930334675	32.9858096083
79.0	94.7610768500	31.8188371661
80.0	88.3985258330	30.8206164698
81.0	82.7194975151	29.9656677768
82.0	77.6229811875	29.2338845428
83.0	73.0257630952	28.6093344103
84.0	68.8589206420	28.0793724761
85.0	65.0650404194	27.6339823453
86.0	61.5960185702	27.2652855402
87.0	58.4113204253	26.9671767292
88.0	55.4766018517	26.7350542038
89.0	52.7626130391	26.5656245374
90.0	50.2443240656	26.4567657932
91.0	47.9002262471	26.4074389309
92.0	45.7117714930	26.4176401500
93.0	43.6629242702	26.4883894318
94.0	41.7398038187	26.6217521585
95.0	39.9304022340	26.8208930717
96.0	38.2243666490	27.0901610771
97.0	36.6128387146	27.4352048484
98.0	35.0883464071	27.8631179126
99.0	33.6447475465	28.3826093459
100.0	32.2772261587	29.0041678014
