	Frequency [Hz]	Amplitude [m/s2]	Phase Angle [deg]
51.0	0.0138751103742	11.5260908708
52.0	0.0117949916267	17.3024935952
53.0	0.00930087733101	28.7310872731
54.0	0.00703675470286	54.8161489310
55.0	0.00760688523524	100.234212592
56.0	0.0130407818484	130.670570154
57.0	0.0224097504486	143.524116956
58.0	0.035927422484	149.202524119
59.0	0.0551329812374	151.575126198
60.0	0.0830306525074	151.885632325
61.0	0.125304576702	150.343447155
62.0	0.193467052876	146.380293677
63.0	0.312534443859	138.086833656
64.0	0.52956721295	120.174323175
65.0	0.784531012132	84.0943833170
66.0	0.724967497569	46.2809250486
67.0	0.565434827136	26.5566863368
68.0	0.463578686293	16.9962284892
69.0	0.403021489931	11.7213392042
70.0	0.365462966439	8.46351525860
71.0	0.341302052379	6.27952114508
72.0	0.325521993345	4.72407096726
73.0	0.315337788858	3.56357128674
74.0	0.309106126933	2.66498151433
75.0	0.305806090456	1.94748122444
76.0	0.304776696798	1.35937114252
77.0	0.305576187533	0.866152254601
78.0	0.307902526138	0.443974069757
79.0	0.311546411684	0.075840680597
80.0	0.3163624232	-0.250684957073
81.0	0.32225073936	-0.544923335095
82.0	0.329145256384	-0.81401454794
83.0	0.337005729963	-1.06354360272
84.0	0.345812528455	-1.29796902298
85.0	0.355563142981	-1.52092368348
86.0	0.366269918536	-1.73543080755
87.0	0.377958677659	-1.94406255046
88.0	0.3906680199	-2.14905918979
89.0	0.404449172131	-2.35242100519
90.0	0.419366312393	-2.55598120868
91.0	0.435497340144	-2.76146582716
92.0	0.452935086904	-2.97054489815
93.0	0.471789005463	-3.18487827348
94.0	0.492187386651	-3.40615880544
95.0	0.514280209051	-3.63615515906
96.0	0.538242735472	-3.87675663006
97.0	0.564280051186	-4.13002217455
98.0	0.592632774753	-4.39823631210
99.0	0.623584275973	-4.68397503231
100.0	0.657469841264	-4.99018144699
