	Frequency [Hz]	Amplitude [m/s]	Phase Angle [deg]
50.0	0.000495145997185	167.625187218
51.0	0.000571131038246	175.023536428
52.0	0.000671723580169	-178.890812604
53.0	0.000799671714689	-174.186078912
54.0	0.000958242716988	-170.802471446
55.0	0.00115152056829	-168.634420080
56.0	0.00138453680272	-167.582022581
57.0	0.00166321208554	-167.574597790
58.0	0.00199400869243	-168.577759180
59.0	0.00238307459963	-170.591343675
60.0	0.002834529825	-173.640512163
61.0	0.00334750657482	-177.758516034
62.0	0.00391188900431	177.042445672
63.0	0.00450386815779	170.811270451
64.0	0.00508450118518	163.704327541
65.0	0.00560564942421	156.007269463
66.0	0.00602421079592	148.106909333
67.0	0.00631745948696	140.408165677
68.0	0.00648874604376	133.238307153
69.0	0.00656068528636	126.792212828
70.0	0.00656301823605	121.135263778
71.0	0.00652320663347	116.240958862
72.0	0.00646232501333	112.033390016
73.0	0.00639475745842	108.418825496
74.0	0.00632952310451	105.304091710
75.0	0.00627187098671	102.605171359
76.0	0.00622460084867	100.250025641
77.0	0.00618900553662	98.1785171064
78.0	0.00616549333383	96.3411151724
79.0	0.00615398066687	94.6972501038
80.0	0.00615413243107	93.2137108277
81.0	0.00616550563639	91.8632387891
82.0	0.0061876330588	90.6233542978
83.0	0.00622007050253	89.4754021951
84.0	0.00626242213855	88.4037860574
85.0	0.0063143530355	87.3953572511
86.0	0.00637559414783	86.4389279938
87.0	0.00644594325037	85.5248823582
88.0	0.00652526359239	84.6448640377
89.0	0.00661348165878	83.7915240988
90.0	0.00671058444592	82.9583153463
91.0	0.00681661682619	82.1393230273
92.0	0.00693167909068	81.3291236731
93.0	0.00705592464487	80.5226657011
94.0	0.00718955801167	79.7151668001
95.0	0.00733283277538	78.9020239280
96.0	0.00748604957105	78.0787330823
97.0	0.00764955366954	77.2408160336
98.0	0.00782373203144	76.3837522839
99.0	0.00800900923981	75.5029148319
100.0	0.00820584194776	74.5934457278
